set,grade,topic,best_distance,expected,would,ok
in_syllabus_paraphrased,6,what makes something a living thing,1.1049,accept,accept,True
in_syllabus_paraphrased,6,how are plants and animals different,0.7248,accept,accept,True
in_syllabus_paraphrased,6,solids liquids and gases,0.6061,accept,accept,True
in_syllabus_paraphrased,6,why are some solids hard and others bendy,0.8967,accept,accept,True
in_syllabus_paraphrased,6,fresh water and salty water,0.653,accept,accept,True
in_syllabus_paraphrased,6,where does light come from,0.8163,accept,accept,True
in_syllabus_paraphrased,6,how we use light every day,0.9682,accept,accept,True
in_syllabus_paraphrased,6,north and south ends of a magnet,0.7578,accept,accept,True
in_syllabus_paraphrased,6,how is electricity made,0.9235,accept,accept,True
in_syllabus_paraphrased,6,what is the weather like,1.1571,accept,REFUSE,False
in_syllabus_paraphrased,7,parts of a flowering plant and what they look like,0.6185,accept,accept,True
in_syllabus_paraphrased,7,animals with backbones and animals without,0.6506,accept,accept,True
in_syllabus_paraphrased,7,the systems inside our body,0.9314,accept,accept,True
in_syllabus_paraphrased,7,how can you tell if something is an acid or a base,0.6462,accept,accept,True
in_syllabus_paraphrased,7,why does sugar dissolve in water,0.9551,accept,accept,True
in_syllabus_paraphrased,7,what does a capacitor do,0.9762,accept,accept,True
in_syllabus_paraphrased,7,energy of moving things,0.6922,accept,accept,True
in_syllabus_paraphrased,7,why does a mirror flip your reflection,0.921,accept,accept,True
in_syllabus_paraphrased,7,the layers of air above the earth,0.7447,accept,accept,True
in_syllabus_paraphrased,7,how rocks break down over time,0.7405,accept,accept,True
in_syllabus_paraphrased,8,tiny living things you cannot see,1.1436,accept,accept,True
in_syllabus_paraphrased,8,groups of animals that have backbones,0.7167,accept,accept,True
in_syllabus_paraphrased,8,how plants make their own food,0.7512,accept,accept,True
in_syllabus_paraphrased,8,what happens when things burn,0.9771,accept,accept,True
in_syllabus_paraphrased,8,what happens when an acid meets a base,0.9581,accept,accept,True
in_syllabus_paraphrased,8,how do you control the current in a circuit,0.9061,accept,accept,True
in_syllabus_paraphrased,8,why do some wires resist electricity,0.785,accept,accept,True
in_syllabus_paraphrased,8,why does the earth act like a magnet,0.8141,accept,accept,True
in_syllabus_paraphrased,8,the sun and the planets around it,0.9609,accept,accept,True
in_syllabus_paraphrased,8,why do floods happen,0.8265,accept,accept,True
in_syllabus_paraphrased,9,how does the eye work,0.7604,accept,accept,True
in_syllabus_paraphrased,9,how does the heart work,1.0132,accept,accept,True
in_syllabus_paraphrased,9,how living things changed over millions of years,0.9595,accept,accept,True
in_syllabus_paraphrased,9,coating metal using electricity,0.6996,accept,accept,True
in_syllabus_paraphrased,9,what is a compound made of,0.9301,accept,accept,True
in_syllabus_paraphrased,9,how do you measure how strong a push is,1.0711,accept,accept,True
in_syllabus_paraphrased,9,the instrument that measures how dense a liquid is,0.5812,accept,accept,True
in_syllabus_paraphrased,9,how does a ramp make lifting easier,0.9905,accept,accept,True
in_syllabus_paraphrased,9,why do earthquakes happen,0.6511,accept,accept,True
in_syllabus_paraphrased,9,science of very very small things,0.9178,accept,accept,True
off_syllabus,6,Cryptocurrency and blockchain,1.5157,refuse,refuse,True
off_syllabus,7,Cryptocurrency and blockchain,1.5777,refuse,refuse,True
off_syllabus,8,Cryptocurrency and blockchain,1.4632,refuse,refuse,True
off_syllabus,9,Cryptocurrency and blockchain,1.5499,refuse,refuse,True
off_syllabus,6,The Kandyan Kingdom and colonial rule,1.46,refuse,refuse,True
off_syllabus,7,The Kandyan Kingdom and colonial rule,1.4596,refuse,refuse,True
off_syllabus,8,The Kandyan Kingdom and colonial rule,1.468,refuse,refuse,True
off_syllabus,9,The Kandyan Kingdom and colonial rule,1.3979,refuse,refuse,True
off_syllabus,6,Quadratic equations and the discriminant,1.6781,refuse,refuse,True
off_syllabus,7,Quadratic equations and the discriminant,1.5007,refuse,refuse,True
off_syllabus,8,Quadratic equations and the discriminant,1.5357,refuse,refuse,True
off_syllabus,9,Quadratic equations and the discriminant,1.6213,refuse,refuse,True
off_syllabus,6,Sinhala grammar and sentence construction,1.1155,refuse,ACCEPT,False
off_syllabus,7,Sinhala grammar and sentence construction,1.1252,refuse,ACCEPT,False
off_syllabus,8,Sinhala grammar and sentence construction,1.1233,refuse,ACCEPT,False
off_syllabus,9,Sinhala grammar and sentence construction,1.1119,refuse,ACCEPT,False
off_syllabus,6,Object-oriented programming in Java,1.4921,refuse,refuse,True
off_syllabus,7,Object-oriented programming in Java,1.4782,refuse,refuse,True
off_syllabus,8,Object-oriented programming in Java,1.5059,refuse,refuse,True
off_syllabus,9,Object-oriented programming in Java,1.4088,refuse,refuse,True
off_syllabus,6,Impressionist painting techniques,1.5438,refuse,refuse,True
off_syllabus,7,Impressionist painting techniques,1.3888,refuse,refuse,True
off_syllabus,8,Impressionist painting techniques,1.6161,refuse,refuse,True
off_syllabus,9,Impressionist painting techniques,1.3476,refuse,refuse,True
off_syllabus,6,Supply and demand curves in economics,1.5971,refuse,refuse,True
off_syllabus,7,Supply and demand curves in economics,1.5831,refuse,refuse,True
off_syllabus,8,Supply and demand curves in economics,1.5773,refuse,refuse,True
off_syllabus,9,Supply and demand curves in economics,1.4847,refuse,refuse,True
off_syllabus,6,Rules and scoring in cricket,1.4472,refuse,refuse,True
off_syllabus,7,Rules and scoring in cricket,1.4278,refuse,refuse,True
off_syllabus,8,Rules and scoring in cricket,1.1333,refuse,ACCEPT,False
off_syllabus,9,Rules and scoring in cricket,1.3706,refuse,refuse,True
off_syllabus,6,Buddhist philosophy and the eightfold path,1.5829,refuse,refuse,True
off_syllabus,7,Buddhist philosophy and the eightfold path,1.572,refuse,refuse,True
off_syllabus,8,Buddhist philosophy and the eightfold path,1.5793,refuse,refuse,True
off_syllabus,9,Buddhist philosophy and the eightfold path,1.4931,refuse,refuse,True
off_syllabus,6,Creative writing and narrative structure,1.5915,refuse,refuse,True
off_syllabus,7,Creative writing and narrative structure,1.6132,refuse,refuse,True
off_syllabus,8,Creative writing and narrative structure,1.6467,refuse,refuse,True
off_syllabus,9,Creative writing and narrative structure,1.5354,refuse,refuse,True
off_syllabus,6,Astrology and planetary influence on personality,1.562,refuse,refuse,True
off_syllabus,7,Astrology and planetary influence on personality,1.4469,refuse,refuse,True
off_syllabus,8,Astrology and planetary influence on personality,1.0056,refuse,ACCEPT,False
off_syllabus,9,Astrology and planetary influence on personality,1.5752,refuse,refuse,True
off_syllabus,6,Homeopathic dilution and water memory,1.3079,refuse,refuse,True
off_syllabus,7,Homeopathic dilution and water memory,1.2148,refuse,refuse,True
off_syllabus,8,Homeopathic dilution and water memory,1.4211,refuse,refuse,True
off_syllabus,9,Homeopathic dilution and water memory,1.3709,refuse,refuse,True
off_syllabus,6,Flat earth theory,1.454,refuse,refuse,True
off_syllabus,7,Flat earth theory,1.1887,refuse,refuse,True
off_syllabus,8,Flat earth theory,1.3232,refuse,refuse,True
off_syllabus,9,Flat earth theory,1.3395,refuse,refuse,True
off_syllabus,6,Crystal healing energy fields,1.5434,refuse,refuse,True
