topic,grade,gate,total_relevant,deduped_relevant,redundant,inflation_pct,in_sample_of_10
The solar system and the planets,6,REFUSED,0,0,0,,no
Classification of plants and animals,6,accepted,10,10,0,0.0,yes
Properties of matter,6,accepted,19,19,0,0.0,yes
Air and the atmosphere,6,REFUSED,0,0,0,,no
Water and its uses,6,accepted,24,24,0,0.0,yes
Soil and its composition,6,REFUSED,0,0,0,,no
Simple machines and levers,6,REFUSED,0,0,0,,no
Light and shadows,6,accepted,21,21,0,0.0,no
Sound and how we hear,6,accepted,8,8,0,0.0,no
The human skeleton,6,REFUSED,0,0,0,,no
Cells and their structure,7,accepted,7,7,0,0.0,yes
Photosynthesis,7,accepted,21,21,0,0.0,yes
States of matter,7,REFUSED,0,0,0,,no
Heat and temperature,7,accepted,34,33,1,3.03,yes
Static electricity,7,accepted,12,12,0,0.0,no
Magnets and magnetism,7,REFUSED,0,0,0,,no
Food and nutrition,7,accepted,11,11,0,0.0,no
Ecosystems and food chains,7,REFUSED,0,0,0,,no
Force and motion,7,accepted,6,6,0,0.0,no
The water cycle,7,REFUSED,0,0,0,,no
Elements compounds and mixtures,8,accepted,8,8,0,0.0,yes
Acids bases and indicators,8,accepted,24,23,1,4.35,yes
Energy and its transformations,8,REFUSED,0,0,0,,no
The human digestive system,8,accepted,11,11,0,0.0,yes
Respiration in living organisms,8,accepted,40,40,0,0.0,no
Reflection of light and mirrors,8,REFUSED,0,0,0,,no
Electric circuits,8,accepted,22,22,0,0.0,no
Solar system phenomena,8,accepted,13,13,0,0.0,no
Reproduction in flowering plants,8,accepted,36,34,2,5.88,no
Rheostat,8,accepted,1,1,0,0.0,no
Atomic structure,9,accepted,9,9,0,0.0,yes
Chemical reactions and equations,9,REFUSED,0,0,0,,no
Work power and energy,9,accepted,20,19,1,5.26,no
Electromagnetism,9,REFUSED,0,0,0,,no
The human nervous system,9,REFUSED,0,0,0,,no
Heredity and genetics,9,REFUSED,0,0,0,,no
Environmental pollution,9,accepted,40,40,0,0.0,no
Waves and their properties,9,accepted,13,13,0,0.0,no
The circulatory system,9,accepted,8,8,0,0.0,no
The periodic table of elements,9,accepted,13,13,0,0.0,no
