set,family,topic,grade,correct_grade,expected,best_distance,best_distance_clean,kept_passages,ocr_passages,ocr_share,layer1_accept,layer2_in_syllabus,layer2_reason,correct
in_syllabus_paraphrased,positive,what makes something a living thing,6,6,accept,1.1048994064331055,1.1048994064331055,16,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how are plants and animals different,6,6,accept,0.7247632145881653,0.7247632145881653,12,0,0.0,True,,,True
in_syllabus_paraphrased,positive,solids liquids and gases,6,6,accept,0.6060635447502136,0.6060635447502136,3,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why are some solids hard and others bendy,6,6,accept,0.8966904878616333,0.8966904878616333,6,0,0.0,True,,,True
in_syllabus_paraphrased,positive,fresh water and salty water,6,6,accept,0.6529970765113831,0.6529970765113831,2,0,0.0,True,,,True
in_syllabus_paraphrased,positive,where does light come from,6,6,accept,0.8163369297981262,0.8163369297981262,14,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how we use light every day,6,6,accept,0.9681904315948486,0.9681904315948486,36,0,0.0,True,,,True
in_syllabus_paraphrased,positive,north and south ends of a magnet,6,6,accept,0.7577569484710693,0.7577569484710693,8,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how is electricity made,6,6,accept,0.9234652519226074,0.9234652519226074,30,0,0.0,True,,,True
in_syllabus_paraphrased,positive,what is the weather like,6,6,accept,1.1570508480072021,1.2317233085632324,0,0,0.0,False,,,False
in_syllabus_paraphrased,positive,parts of a flowering plant and what they look like,7,7,accept,0.6185024976730347,0.6185024976730347,9,0,0.0,True,,,True
in_syllabus_paraphrased,positive,animals with backbones and animals without,7,7,accept,0.6505529880523682,0.6505529880523682,3,0,0.0,True,,,True
in_syllabus_paraphrased,positive,the systems inside our body,7,7,accept,0.9313803911209106,0.9313803911209106,13,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how can you tell if something is an acid or a base,7,7,accept,0.6461614966392517,0.6461614966392517,5,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why does sugar dissolve in water,7,7,accept,0.9550787806510925,0.9550787806510925,10,0,0.0,True,,,True
in_syllabus_paraphrased,positive,what does a capacitor do,7,7,accept,0.9761790633201599,0.9761790633201599,3,0,0.0,True,,,True
in_syllabus_paraphrased,positive,energy of moving things,7,7,accept,0.692180871963501,0.692180871963501,11,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why does a mirror flip your reflection,7,7,accept,0.9209520816802979,0.9209520816802979,14,0,0.0,True,,,True
in_syllabus_paraphrased,positive,the layers of air above the earth,7,7,accept,0.7446699142456055,0.7446699142456055,15,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how rocks break down over time,7,7,accept,0.7404506206512451,0.7404506206512451,12,0,0.0,True,,,True
in_syllabus_paraphrased,positive,tiny living things you cannot see,8,8,accept,1.1435788869857788,1.1435788869857788,3,0,0.0,True,,,True
in_syllabus_paraphrased,positive,groups of animals that have backbones,8,8,accept,0.7167198657989502,0.7167198657989502,8,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how plants make their own food,8,8,accept,0.751229465007782,0.751229465007782,11,0,0.0,True,,,True
in_syllabus_paraphrased,positive,what happens when things burn,8,8,accept,0.9770582914352417,0.9770582914352417,28,0,0.0,True,,,True
in_syllabus_paraphrased,positive,what happens when an acid meets a base,8,8,accept,0.9581426382064819,0.9581426382064819,11,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how do you control the current in a circuit,8,8,accept,0.9060664772987366,0.9060664772987366,20,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why do some wires resist electricity,8,8,accept,0.7849858999252319,0.7849858999252319,17,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why does the earth act like a magnet,8,8,accept,0.814149796962738,0.814149796962738,20,0,0.0,True,,,True
in_syllabus_paraphrased,positive,the sun and the planets around it,8,8,accept,0.9609495401382446,0.9609495401382446,21,0,0.0,True,,,True
in_syllabus_paraphrased,positive,why do floods happen,8,8,accept,0.8265402913093567,0.8265402913093567,15,0,0.0,True,,,True
in_syllabus_paraphrased,positive,how does the eye work,9,9,accept,0.7603659629821777,0.7603659629821777,18,2,0.1111,True,,,True
in_syllabus_paraphrased,positive,how does the heart work,9,9,accept,1.0132211446762085,1.0132211446762085,8,4,0.5,True,,,True
in_syllabus_paraphrased,positive,how living things changed over millions of years,9,9,accept,0.9595471024513245,0.9595471024513245,40,4,0.1,True,,,True
in_syllabus_paraphrased,positive,coating metal using electricity,9,9,accept,0.6995757222175598,0.6995757222175598,7,0,0.0,True,,,True
